# x_n y_n
0 3,041592653589793
5,684626320176773 -0,4967396395929536
5,698555400784241 -0,5291225263388979
5,7126776684667995 -0,5613403638355691
5,727008574546445 -0,5933761872943926
5,741563804685359 -0,6252092665248944
5,75635913016757 -0,6568144612518754
5,771410190476101 -0,6881614771720694
5,786732188599444 -0,7192140220519527
5,802339478378731 -0,7499288715453625
5,818245022928537 -0,7802548713518531
5,834459706500167 -0,8101319279765596
5,850991491595884 -0,8394900763029971
5,867844431687194 -0,8682487581868025
5,885017580263852 -0,8963164979705778
5,902503879888629 -0,9235912069948367
5,9202891665556 -0,9499613696933323
5,938351473539141 -0,9753083309842884
5,956660845252541 -0,9995097913610878
5,97517985136022 -1,0224444126329122
5,99386490735571 -1,0439971709537306
6,01266836451533 -1,064064837298966
6,0315411641291 -1,0825608181866966
6,050435714250812 -1,099418630320957
6,0693085935783015 -1,1145935216919916
6,088122735880593 -1,1280621143092842
6,106848876812629 -1,1398203076110014
6,125466202655708 -1,149879937602844
6,143962276790455 -1,1582647852225592
6,162332404434487 -1,165006483846348
6,180578624850413 -1,1701407449171517
6,1987085061638965 -1,173704162594294
6,216733880598844 -1,175731716747454
6,234669614286508 -1,1762549895215024
6,252532466618055 -1,175301046971458
6,270340064165662 -1,172891906740126
6,288109994154571 -1,1690445049867768
6,3058590109021235 -1,1637710810597253
6,323602343517079 -1,1570799092989719
6,341353092633082 -1,1489763187645319
6,359121706660109 -1,1394639503365709
6,376915533022298 -1,1285462044897752
6,394738446374198 -1,1162278309553504
6,412590563089117 -1,102516603128265
6,430468058393381 -1,0874250061729294
6,4483631080238295 -1,070971850431453
6,466263978550466 -1,0531837046996249
6,484155287839038 -1,0340960325020434
6,5020184483171235 -1,013753914732494
6,51983229066447 -0,9922122592115168
6,53757384584329 -0,9695354342909536
6,555219242339008 -0,945796317354011
6,572744657587787 -0,921074812324009
6,590127252259622 -0,8954559514503224
6,6073460162680195 -0,8690277431072057
6,624382466435413 -0,8418789495158354
6,641221155265686 -0,8140969725703996
6,657849973956961 -0,7857659955383075
6,674260255830571 -0,7569654818065262
6,690446704848967 -0,727769079747884
6,70640718567193 -0,6982439348793805
6,722142416440395 -0,6684503733415733
6,737655604286116 -0,638441897102302
6,752952058290775 -0,6082654206872327
6,7680388072146584 -0,5779616791071512
6,782924241417762 -0,5475657436093672
6,797617791133571 -0,5171075926722578
6,81212964724663 -0,48661269768681864
6,826470526180451 -0,45610259425453475
6,8406514773606295 -0,42559541997209593
6,854683729769401 -0,39510640756002013
6,868578573087417 -0,36464832821118304
6,882347268566319 -0,3342318842997341
6,896000984867549 -0,30386605341325995
6,909550754462276 -0,27355838738063526
6,923007446684806 -0,24331527086490987
6,936381754078535 -0,21314214442526408
6,949684189212605 -0,18304369692066141
6,962925089645859 -0,15302403187633506
6,976114629155865 -0,1230868120665335
6,989262833728855 -0,093235386153717
7,002379601122127 -0,06347290081149431
7,015474723068179 -0,033802401374043056
7,028557909395445 -0,004226923714321755
7,041638813500324 0,02525042023528212
7,054727058724971 0,05462636114051733
7,06783226528001 0,08389739310196748
7,08096407740456 0,11305969479993347
7,0941321904802965 0,14210904915505834
7,107346377812579 0,17104075974378657
7,120616516759688 0,19984956219487568
7,133952613828843 0,22852952873841315
7,147364828261357 0,25707396398487364
7,16086349349355 0,28547528988216136
7,1744591356974645 0,313724917638397
7,1881624883665625 0,34181310421537686
7,201984501604725 0,36972879080487187
7,215936344388446 0,3974594205174349
7,230029397587115 0,42499073237266966
7,24427523492973 0,45230652862917
7,258685588385693 0,4793884126036402
7,273272293577356 0,5062154945074276
7,288047209872045 0,5327640636250942
7,303022108748037 0,5590072265819175
7,318208522974099 0,5849145137737364
7,333617548238672 0,6104514596183409
7,349259588370182 0,6355791675552298
7,365144035605574 0,6602538781191016
7,3812788790686525 0,6844265683191706
7,397670238478709 0,7080426230884405
7,414321827020733 0,7310416342709967
7,4312343581273295 0,7533573980272061
7,448404926107334 0,7749181946743018
7,465826409593039 0,7956474409645343
7,48348696746078 0,8154647969957638
7,501369714710895 0,8342877811342528
7,519452674025087 0,8520338913762197
7,537709089661598 0,868623151381532
7,556108158243426 0,8839809047175646
7,574616175804947 0,898040593252863
7,593198030678927 0,9107462031775171
7,611818903878718 0,9220540691625372
7,63044599192528 0,9319338025109921
7,649050056109083 0,9403682392352186
7,6676066302985095 0,9473524562624793
7,686096777558284 0,9528920394925842
7,70450735706454 0,9570008758237095
7,7228308294325885 0,9596987700696465
7,7410646781559675 0,961009162691658
7,759210552446601 0,9609571628798456
7,777273243838707 0,959568034247579
7,795259600631572 0,956866194389873
7,813177466785452 0,9528747256958916
7,831034710738358 0,9476153477822423
7,848838388802563 0,9411087717805332
7,866594069759581 0,9333753408435426
7,884305333032727 0,9244358560166187
7,9019734423375 0,9143124886535458
7,919597189262292 0,9030296873214928
7,937172895783442 0,8906149972038743
7,95469456028324 0,8770997228484444
7,972154127541112 0,862519380686146
7,989541859185416 0,8469139060078551
8,006846777464002 0,830327599509734
8,024057152487003 0,8128088198807435
8,041161001997253 0,7944094493367267
8,058146573773056 0,7751841763159519
8,075002784159608 0,7551896517384462
8,091719591712064 0,7344835809809136
8,108288291867659 0,713123812731952
8,12470172605214 0,691167478937492
8,140954405736544 0,6686702287345205
8,157042557921478 0,6456855856480525
8,172964102850482 0,6222644434261545
8,188718577278118 0,5984547033729684
8,2043070174611 0,5743010459993748
8,21973181551502 0,5498448227268531
8,234996561290549 0,5251240492187651
8,250105879879818 0,5001734802853587
8,265065272618523 0,4750247466390195
8,27988096726628 0,4497065354464153
8,294559781099295 0,4242447990711555
8,309108999025012 0,3986629791697399
8,323536267554966 0,3729822360651377
8,337849504533139 0,3472216758638634
8,352056823871417 0,32139856998824934
8,366166474138984 0,2955285636221433
8,380186789634976 0,2696258710204333
8,394126152494103 0,24370345674456095
8,407992964391243 0,21777320270580774
8,421795626489569 0,19184606147815703
8,435542526391517 0,16593219673345594
